epochs,seed,set_size_range,labels_number,id,train_accuracy,max_set_new_size_test,test_batch_size,new_sets_number_test,log_interval,train_set_size,lr,lr_decay_epoch,max_set_new_size_train,momentum,train_loss,random_sample,no_cuda,batch_size,result_file,new_sets_number_train,data_set,test_accuracy,time,test_set_size
100,1003,"[10, 100]",4,26,0.642286,100,1000,1,10,60,0.1,20,10,0.5,-0.63917916320493195,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.78195999999999999,933.3064978122711,1000
100,1003,"[10, 100]",4,27,0.781865,10,1000,10,10,60,0.1,20,100,0.5,-0.77211055053492728,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.69963000000000009,449.05128717422485,1000
100,1003,"[10, 100]",4,28,0.781865,100,1000,1,10,60,0.1,20,100,0.5,-0.77211055053492728,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.74500999999999995,362.2498800754547,1000
100,1003,"[100, 1000]",4,29,0.957982,100,1000,10,10,60,0.1,20,100,0.5,-0.95586298350689758,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.96983999999999992,1774.9933009147644,1000
100,1003,"[100, 1000]",4,30,0.957982,1000,1000,1,10,60,0.1,20,100,0.5,-0.95586298350689758,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.96818999999999988,1675.398596048355,1000
100,1003,"[100, 1000]",4,31,0.943738,100,1000,10,10,60,0.1,20,1000,0.5,-0.93612295919555744,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.92158000000000018,1343.8916990756989,1000
100,1003,"[100, 1000]",4,32,0.943738,1000,1000,1,10,60,0.1,20,1000,0.5,-0.93612295919555744,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.92488000000000015,1256.812905073166,1000
100,1004,"[10, 100]",4,33,0.608965,10,1000,10,10,60,0.1,20,10,0.5,-0.60676770121265999,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.70409999999999995,1053.4094989299774,1000
100,1004,"[10, 100]",4,34,0.608965,100,1000,1,10,60,0.1,20,10,0.5,-0.60676770121265999,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.71318000000000004,973.8434898853302,1000
100,1004,"[10, 100]",4,35,0.795442,10,1000,10,10,60,0.1,20,100,0.5,-0.78639382033024818,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.73163999999999996,491.1045141220093,1000
100,1004,"[10, 100]",4,36,0.795442,100,1000,1,10,60,0.1,20,100,0.5,-0.78639382033024818,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.78017999999999998,354.0236520767212,1000
100,1004,"[100, 1000]",4,37,0.87078,100,1000,10,10,60,0.1,20,100,0.5,-0.86911177333101075,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.87825000000000009,1769.0807430744171,1000
100,1004,"[100, 1000]",4,38,0.87078,1000,1000,1,10,60,0.1,20,100,0.5,-0.86911177333101075,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.87813999999999992,1668.3035328388214,1000
100,1004,"[100, 1000]",4,39,0.947426,100,1000,10,10,60,0.1,20,1000,0.5,-0.9399200187396195,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.90832000000000002,1351.3180108070374,1000
100,1004,"[100, 1000]",4,40,0.947426,1000,1000,1,10,60,0.1,20,1000,0.5,-0.9399200187396195,False,False,512,results/batch_train_mnist-1.py.csv,1,mnist,0.91041000000000005,1261.9826729297638,1000
100,1005,"[10, 100]",4,41,0.611079,10,1000,10,10,60,0.1,20,10,0.5,-0.60896313211820241,False,False,512,results/batch_train_mnist-1.py.csv,10,mnist,0.70707999999999993,1110.557678937912,1000
