,batch_size,data_set,epochs,id,labels_number,log_interval,lr,lr_decay_epoch,max_set_new_size_test,max_set_new_size_train,momentum,new_sets_number_test,new_sets_number_train,no_cuda,random_sample,result_file,seed,set_size_range,test_accuracy,test_batch_size,test_set_size,time,train_accuracy,train_loss,train_set_size
29,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
30,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
31,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
32,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
33,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
34,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
35,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
36,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
37,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
38,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
39,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
40,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
41,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
42,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
43,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
44,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
45,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
46,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
47,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
48,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
49,512,mnist,100,80,4,10,0.1,20,1000,1000,0.5,1,1,False,False,results/batch_train_mnist-1.py.csv,1009,"[100, 1000]",0.93735,1000,1000,1274.45815396,0.949841678143,-0.943204513495,60
