batch_size,data_set,epochs,id,labels_number,log_interval,lr,lr_decay_epoch,max_set_new_size_test,max_set_new_size_train,momentum,new_sets_number_test,new_sets_number_train,no_cuda,random_sample,result_file,results_averaging_window,seed,set_size_range_test,set_size_range_train,test_accuracy,test_batch_size,test_set_size,time,train_accuracy,train_loss,train_set_size
512,mnist,100,<built-in function id>,2,10,0.1,20,100,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,107,"[100, 100]","[100, 100]",0.89911,1000,1000,64980.48832798,0.9176526,-0.908185037667468,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,105,"[100, 100]","[100, 100]",0.64772,1000,1000,66258.0882120133,0.6458289,-0.640548681101557,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,107,"[100, 100]","[100, 100]",0.88823,1000,1000,66392.4604549408,0.87933886,-0.867691358115713,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,50,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,108,"[100, 100]","[100, 100]",0.75332,1000,1000,66515.910063982,0.7459194,-0.740643179416656,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,107,"[1000, 1000]","[1000, 1000]",0.93119,1000,1000,66463.2643089294,0.92091113,-0.912084704789065,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,109,"[1000, 1000]","[1000, 1000]",0.93534,1000,1000,66560.3154480457,0.9196267,-0.91067607433109,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,106,"[1000, 1000]","[1000, 1000]",0.86004,1000,1000,66542.4631831646,0.8446531,-0.837933637429092,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,105,"[100, 100]","[100, 100]",0.62996,1000,1000,67116.5087628365,0.66437864,-0.659722093050763,60
512,mnist,100,<built-in function id>,2,10,0.1,20,100,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,109,"[100, 100]","[100, 100]",0.9012,1000,1000,67148.1834068298,0.91733646,-0.90848824689954,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,108,"[1000, 1000]","[1000, 1000]",0.92063,1000,1000,67939.2406570911,0.9155985,-0.903826927280022,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,100,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,105,"[1000, 1000]","[1000, 1000]",0.785,1000,1000,67995.9379990101,0.7652603,-0.753791407104266,60
512,mnist,100,<built-in function id>,2,10,0.1,20,1000,500,0.5,1,1,True,False,results/batch_train_mnist-set_reduction_only.py.csv,10,109,"[1000, 1000]","[1000, 1000]",0.93449,1000,1000,72906.2519350052,0.95222247,-0.945375866960671,60
